company,education,experience,industry,jobdescription,jobid,joblocation_address,jobtitle,numberofpositions,payrate,postdate,site_name,skills,uniq_id,category
Firstsource Solutions Ltd.,"UG: Any Graduate, Graduation Not Required PG:Any Postgraduate, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",0 - 5 yrs,BPO / Call Centre / ITES,"Job Description   Send me Jobs like this Hi, Greetings from FIRSTSOURCE..! Firstsource a leading global provider of business process management services for the position of CUSTOMER SERVICE EXECUTIVE. We offer a wide range of services across banking and financial services, telecommunications and media and the healthcare industry. With over 34,000 employees, Firstsource ranks amongst India's fastest growing BPO companies. Firstsource is an equal opportunity employer. If you are looking for a long term career in a BPO then we are the right organization for you. We have clients from UK, & Aus who have been with us for over a decade and now we are hiring for these clients at our Bangalore center for International inbound voice process.  We are looking for applicants with excellent communication skill  Interview Timings: 10 am to 5 pm  Designation: Customer Service Executive/Sr.customer service executive (Voice and Non-voice) Eligibility: 10th pass, 12th pass, Diploma & Graduate Freshers & Experienced. VENUE: FIRSTSOURCE SOLUTIONS LTD Firstsource Solution, 3rd Floor,Tower 5A&B, Pritech II SEZ, RMZ Ecospace ,Bellandur, Bengaluru CONTACT NO-  9620842297 CONTACT PERSON:  Preeti Please forward this to your friends if you are not interested. Salary:INR 1,50,000 - 3,00,000 P.A Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(NonTechnical) Keyskills International Voice Process Customer Service Uk process associate freshers CCE inbound outbond international bpo voice telecaller Insurance Sales collection Fresher good communication customer support CSR CSE Desired Candidate Profile Education- UG: Any Graduate, Graduation Not Required PG:Any Postgraduate, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Eligibility For Bangalore Location- We are looking for applicants with excellent communication skill and willing to join immediately Note: We hire B.E/M.B.A/M.C.A freshers Less than 60%This is only for Customer Service profile. Kindly don't apply for any other profile like HR or IT.Walkin from 10 am to 6 pm Designation: Customer Service Executive (Voice)Eligibility: 10, 12, Diploma & Graduate Freshers & experienced.B.E/B.Tech & MBA Applicants below 60% or with 6 months of bpo experience   Company Profile: Firstsource Solutions Ltd. Firstsource a leading global provider of business process management services for the position of ""CUSTOMER SERVICE EXECUTIVE"". We offer a wide range of services across banking and financial services, telecommunications and media and the healthcare industry. With over 34,000 employees, Firstsource ranks amongst India's fastest growing BPO companies. Firstsource is an equal opportunity employer. Download PPT Photo 1   View Contact Details",250116003919,Bengaluru/Bangalore,Walkin Drive at Firstsource for an International Inbound Voice Process,,"1,50,000 - 3,00,000 P.A",2016-03-29 17:03:46 +0000,,ITES,946666c9699ce765991faf30e59a2928,intern
Gudah Consultants,"UG: Any Graduate - Any Specialization PG:CA, MBA/PGDM - Any Specialization Doctorate:Doctorate Not Required",3 - 5 yrs,Strategy / Management Consulting Firms,"Job Description   Send me Jobs like this Responsible for executing client related engagements in the areas of governance, risk & compliance (GRC), internal audits, process reviews, standard operating procedures, enterprise risk management, revenue assurance, SOX 404 & Clause 49 assistance. Drive the business development process on new & existing client engagements by gathering appropriate resources, gaining access to key contacts & supervising proposal preparation. Identify buyers, influencers & stakeholders in existing client engagements and build strong relationships. Identify opportunities for cross-selling to current clients/introduce colleagues from other service lines. Assist Partners/Directors in driving the account management agenda by focusing on high impact opportunities. Create innovative insights for clients, adapts methods & practices to fit operational team needs & contributes to thought leadership documents. Salary: Not Disclosed by Recruiter Industry: Strategy / Management Consulting Firms Functional Area: Accounts , Finance , Tax , Company Secretary , Audit Role Category:Finance/Audit Role:Audit Manager Keyskills Internal Audit SOX Auditing Enterprise Risk Management Compliance Account Management Business Development Standard Operating Procedures Proposal Preparation Revenue Assurance Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:CA, MBA/PGDM - Any Specialization Doctorate:Doctorate Not Required The candidate should have 3-5 years of experience in internal audit. Preferably from consulting industry, however someone from industry will also be considered. 3-5 years of post-qualification experience in risk advisory / related internal audit experience / external audit experience in big 4 or related business experiencePG Qualification: Chartered Accountant / Certified Internal Auditor / Masters in Business Administration Company Profile: Gudah Consultants Recruitment & Payroll Services Company Download PPT Photo 1   View Contact Details",71215004372,Bengaluru/Bangalore,"Senior Consultant, Internal Audit - Big 4, Bangalore",,Not Disclosed by Recruiter,2016-03-29 17:03:46 +0000,,Accounts,ba2b50692cc5e1aed7af52ff980c4798,intern
Gudah Consultants,"UG: Any Graduate - Any Specialization PG:CA, MBA/PGDM - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",3 - 5 yrs,Strategy / Management Consulting Firms,"Job Description   Send me Jobs like this "" Responsible for executing client related engagements in the areas of governance, risk & compliance (GRC), internal audits, process reviews, standard operating procedures, enterprise risk management, revenue assurance, SOX 404 & Clause 49 assistance. Drive the business development process on new & existing client engagements by gathering appropriate resources, gaining access to key contacts & supervising proposal preparation. Identify buyers, influencers & stakeholders in existing client engagements and build strong relationships. Identify opportunities for cross-selling to current clients/introduce colleagues from other service lines. Assist Partners/Directors in driving the account management agenda by focusing on high impact opportunities. Create innovative insights for clients, adapts methods & practices to fit operational team needs & contributes to thought leadership documents. Salary: Not Disclosed by Recruiter Industry: Strategy / Management Consulting Firms Functional Area: Accounts , Finance , Tax , Company Secretary , Audit Role Category:Finance/Audit Role:Audit Manager Keyskills Internal Audit Enterprise Risk Management Auditing SOX Account Management Business Development Compliance revenue assurance SOP risk managment risk assurance Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:CA, MBA/PGDM - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Profile Description: The candidate should have 3-5 years of experience in internal audit. Preferbaly from consulting industry, however someone from industry will also be considered. Work Experience 3-5 years of post-qualification experience in risk advisory/related internal audit experience/external audit experience in big 4 or related business experienceBasic/UG Qualification PG Qualification Chartered Accountant/Certified Internal Auditor/Masters in Business Administration Company Profile: Gudah Consultants Recruitment & Payroll Services Company Download PPT Photo 1   View Contact Details",31215000958,Bengaluru/Bangalore,"Senior Consultant, Internal Audit - Big 4, Bangalore",,Not Disclosed by Recruiter,2016-03-29 17:03:46 +0000,,Accounts,dd025ef4269f143d4a0ad611860ba61c,intern
SA Rawther Spices P LTd,"UG: B.B.A - Management, B.Com - Commerce, Any Graduate - Any Specialization, B.Sc - Agriculture, B.Tech/B.E. - Agriculture PG:MBA/PGDM - Finance, International Business, Marketing, M.Sc - Agriculture Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",1 - 5 yrs,Food Processing,"Job Description   Send me Jobs like this Handling corporate sales and purchase,Develop business opportunities with existing client & identify the new clients,To build strong customer relations and to ensure business growth,Revenue generation etc Salary: Not Disclosed by Recruiter Industry: Food Processing Functional Area: Sales , Retail , Business Development Role Category:Corporate Sales Role:Sales/Business Development Manager Keyskills Corporate Sales International Sales Business Growth Customer Relationship cold calling negotiations Sales and Business Development master of international business international business Agriculture agri business Desired Candidate Profile Education- UG: B.B.A - Management, B.Com - Commerce, Any Graduate - Any Specialization, B.Sc - Agriculture, B.Tech/B.E. - Agriculture PG:MBA/PGDM - Finance, International Business, Marketing, M.Sc - Agriculture Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Preferable candidates handsome experience. Excellent communication & interpersonal skills.candidate should have good geographical understanding international market. Company Profile: SA Rawther Spices P LTd SA Rawther Spices (P) Ltd is one of the leading processors and exporters of SPICES and COFFEE in India. Established in the year 1960, with an experience of over four decades in the realm of quality spices and coffee, we have travelled a long way Download PPT Photo 1   View Contact Details",101215001410,Bengaluru/Bangalore,Manager International Business/international Trader,,Not Disclosed by Recruiter,2016-03-29 17:03:48 +0000,,Sales,1ce05ad2e7e61c1019051c5e1b6d43b4,intern
Ikya Human Capital Solutions Pvt Ltd,UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization,1 - 5 yrs,BPO / Call Centre / ITES,"Job Description   Send me Jobs like this We have in-house drive with Top MNC. The requirement is :- Undergraduates / Graduates with minimum 6months of international voice experience only. Rotational shift. 5days working, 2 rotational off. 2way transportation. Salary Slab : 6months 1year : 2.75L (21,156) take-home. 1year 1.5years : 3.10L (24,073) take-home. 1.5years & above : 3.25L (25,323) take-home. Salary:INR 50,000 - 3,00,000 P.A Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(NonTechnical) Keyskills international call center BPO and Customer Service Operations Customer Calling customer inbound customer outbound customer voice Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization Please refer to the Job description above Company Profile: Ikya Human Capital Solutions Pvt Ltd Ikya Download PPT Photo 1   View Contact Details",290316004722,Bengaluru/Bangalore,Vacancies in International bpo! huge Opportunity for Experience,,"50,000 - 3,00,000 P.A",2016-03-29 17:03:50 +0000,,ITES,1205d37076ad2ec80e46b7270e32d61b,intern
Maven Workforce,"UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Doctorate Not Required",2 - 6 yrs,Internet / Ecommerce,"Job Description   Send me Jobs like this Job Description Looking for HR Professionals, keen to create specialization to their careers. We are looking for people who not only train people on Selling skills and soft skills but we also demonstrate that in real life with real customers. Constantly work with the regional sales team, the customer support team and other non-sales departments understanding their training needs. Taking care of all new joiners and ensure that they start performing in their roles with in a months time. This can be achieved by training them on Functional skills, selling skills, giving them knowledge about Real Estate industry. Design and deliver trainings for the customer support department, which interacts with the end user. Train new joiners of other non-sales departments on Job related skills. Conduct refresher trainings for the sales team. Conduct updates training for the sales team. Help trainees on the field in closing deals APPLY IF YOU HAVE Minimum of 2- 5 years of training Delivery experience You should have conducted sales training for feet on street profiles Have conducted various soft skills and behavioral training sessions. Should have good presentation skills Should understand concepts of designing training material Salary: Not Disclosed by Recruiter Industry: Internet / Ecommerce Functional Area: HR , Recruitment , Administration , IR Role Category:HR/ Recruitment / IR Role:Training Manager Keyskills Behavioral Training Training Delivery Training Needs Sales Training Learning and Development Training and Development Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Doctorate Not Required   Company Profile: Maven Workforce Leading Client of Maven Workforce Download PPT Photo 1   View Contact Details",280316901265,"Delhi/NCR(National Capital Region) , Mumbai , Bengaluru/Bangalore , Pune",Am/dm - Learning & Development - Online/internet,,Not Disclosed by Recruiter,2016-03-30 17:03:53 +0000,,HR,faa17af83d1b7f021dc7e7d714e0150e,intern
ZNPAC INC hiring for TOP Mnc's and Bpo's,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",0 - 3 yrs,BPO / Call Centre / ITES,"Job Description   Send me Jobs like this Excellent English Communication Qualification: Any Graduates/Undergraduates with any Percentage Shifts: US/UK/Aus/Rotational/Day ShiftZz 2 Way Cab Facilities, Food Coupons, Client Incentivs Meet Vinod to schedule your Interview Ring Vinod: 7411446949 Salary:INR 1,25,000 - 4,00,000 P.A. Incentives, Food Coupons, Shift Allowances, Client Bonus Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(Technical) Keyskills CSR TSR CSE TSE CSO TSO Customer Support Technical Support Semi - Technical Support Inbound Upselling Inbound Calls Handling Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: ZNPAC INC TOP Mnc's and Bpo's We at ZNPAC Inc. associate with you to fix your temporary and long-term business objectives. Once we understand your need we are able to resource the people with the right expertise set, skills, mind-set and dedication to help you. Download PPT Photo 1   View Contact Details",290316002587,Bengaluru/Bangalore,Recognized Organisations @ International BPOs ! Cl Vinod: 7411446949,100.0,"1,25,000 - 4,00,000 P.A. Incentives, Food Coupons, Shift Allowances, Client Bonus",2016-03-29 17:03:53 +0000,,ITES,4c6569d7d75ab5a25a2bc1455ff58279,intern
Athlos Solutions Pvt. Ltd.,"UG: Graduation Not Required, Any Graduate - Any Specialization PG:Any Postgraduate, Post Graduation Not Required Doctorate:Doctorate Not Required",0 - 3 yrs,BPO / Call Centre / ITES,"Job Description   Send me Jobs like this We are currently hiring for International bpo/Customer support for a complete inbound process where u will be solving simple queries of customers related to DTH,Insurance, Telecom, ticketing... Regards Syed@ 9886786122 mujahidathlos@gmail.com Salary:INR 1,00,000 - 3,25,000 P.A Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Telecalling/Telemarketing Executive Keyskills International Bpo Call Center Voice Process International Voice Csr Calling Uk Semi Voice customer support us call handling bpo AUS CANADA UNDERGRADUATES Technical VOICE Support technical support day shift Desired Candidate Profile Education- UG: Graduation Not Required, Any Graduate - Any Specialization PG:Any Postgraduate, Post Graduation Not Required Doctorate:Doctorate Not Required Please refer to the Job description above Company Profile: Athlos Solutions Pvt. Ltd. recrutiment firm Download PPT Photo 1   View Contact Details",290316000677,Bengaluru/Bangalore,"Hiring 10th, 10+2, Any Grads for International Voice Process",,"1,00,000 - 3,25,000 P.A",2016-03-29 17:03:58 +0000,,ITES,06fec8b6192565de6be005127b7ecf50,intern
White Horse Manpower Consultancy Private Limited,"UG: Any Graduate - Any Specialization PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",1 - 6 yrs,BPO / Call Centre / ITES,"Job Description   Send me Jobs like this * Excellent communication skills. * Must be flexible to work in rotational shifts. * KYC knowledge * AML knowledge * UK, US banking process. Salary:INR 2,50,000 - 5,50,000 P.A. Rupees 2,50,000 - 5,50,000 Plus Incentives and food coupons with transportation Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(NonTechnical) Keyskills KYC Aml Voice Process Banking Process fmcg process Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required * Need to speak to customers on Debit/Credit/Mortgage/any Banking related issue * UG/Grad/Post Graduates. * Must have relieving letters from all the companies. * Immediate joining. Interested candidates can contact Taj Company Profile: White Horse Manpower Consultancy Private Limited Job location: BANGALORE Qualification: Under graduates/Graduates/Post Graduates Experience- 0-8years Salary-2.5L to 4.2Lacs or 5.5L or 6.75 per annum Interview- Monday to Friday(11am-4pm) Contact person-Taj 9972020040, 9972020050,888471299 Download PPT Photo 1   View Contact Details",50615001501,Bengaluru/Bangalore,Currently Hiring For International UK Banking BPO Process 9342431048,,"2,50,000 - 5,50,000 P.A. Rupees 2,50,000 - 5,50,000 Plus Incentives and food coupons with transportation",2016-03-30 17:03:58 +0000,,ITES,d73cf937dbff85333e22285b783de752,intern
Gudah Consultants,"UG: Any Graduate - Any Specialization PG:CA, MBA/PGDM - Any Specialization Doctorate:Doctorate Not Required",1 - 3 yrs,Strategy / Management Consulting Firms,"Job Description   Send me Jobs like this Responsible for executing client related engagements in the areas of governance, risk & compliance (GRC), internal audits, process reviews, standard operating procedures, enterprise risk management, revenue assurance, SOX 404 & Clause 49 assistance. Drive the business development process on new & existing client engagements by gathering appropriate resources, gaining access to key contacts & supervising proposal preparation. Identify buyers, influencers & stakeholders in existing client engagements and build strong relationships. Identify opportunities for cross-selling to current clients/introduce colleagues from other service lines. Assist Partners/Directors in driving the account management agenda by focusing on high impact opportunities. Create innovative insights for clients, adapts methods & practices to fit operational team needs & contributes to thought leadership documents. Salary: Not Disclosed by Recruiter Industry: Strategy / Management Consulting Firms Functional Area: Strategy , Management Consulting , Corporate Planning Role Category:Corporate Planning/Consulting/Strategy Role:Outside Consultant Keyskills internal audit revenue assurance SOP risk managment risk assurance Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:CA, MBA/PGDM - Any Specialization Doctorate:Doctorate Not Required The candidate should have 1-3 years of experience in internal audit. Preferbaly from consulting industry, however someone from industry will also be considered. Work Experience: 1-3 years of post-qualification experience in risk advisory/related internal audit experience/external audit experience in big 4 or related business experience. Company Profile: Gudah Consultants Recruitment & Payroll Services Company Download PPT Photo 1   View Contact Details",71215004775,"Bengaluru/Bangalore , Ahmedabad","Consultant - Internal Audit - Big 4, Bangalore,ahemdabad",,Not Disclosed by Recruiter,2016-03-29 17:04:03 +0000,,Strategy,a9ca76cabb02016563fbb6c3bb6f6e85,intern
Salarpuria Sattva Group,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:CA Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",3 - 5 yrs,Real Estate / Property,"Job Description   Send me Jobs like this Greetings from Salarpuria Sattva Group ! About Salarpuria Sattva: Founded in 1986 with the primary focus of developing high quality constructions, the Group has attained leadership positioning in the field and is one of the most preferred brands in the country today. Having pioneered the early development landscape in Bangalore and literally shaping the city's skyline since the mid-80s, the Group has a diverse portfolio of world-class IT Parks, commercial, residential, hospitality and retail properties. The Salarpuria Sattva Group is one among the leading names in the construction Industry today. We are recognized as one of the most ""trusted"" builders in India. Our credentials are reflected in our being recognized by CRISIL as an ""A"" Stable Rated Company. Very few builders in India share this enviable tag with us. Our credibility is reinforced by prestigious national recognition through the Awards that we have received in recent times including NDTV Award for Best Premium Property, the ET Award for Best Residential Development, the CNBC AWAAZ Award for Best Residential and Commercial Properties as well as the CNBC AWAAZ Award in recognition of our contribution to the building industry. Job Profile Manager Internal Audit : -To conduct and manage Internal Audit activities in a real estate construction organization across multiple projects -To evaluate and augment controls in financial records of operations, processes and systems (primarily SAP environment). -To determine and highlight instances of impropriety in financial and collaborate on the root cause analysis -To present internal audit finding and views on process improvements to management . Job Profile Manager Costing : -To drive preparation, review and report budgets of real estate projects -To drive preparation of, review, validate and report costs of real estate projects -To determine and highlight proactively on instances of deviations and collaborate on cost controlling -To collaborate with organization finance teams on project P/Ls -To drive preparation of cash flows, review, present and monitor cash flows -To present Budgets, Costings and Cash Flows to management . Interested candidates may forward your updated profile to Nibedita.goth@sattvagroup.in Salary: Not Disclosed by Recruiter Industry: Real Estate / Property Functional Area: Accounts , Finance , Tax , Company Secretary , Audit Role Category:Finance/Audit Role:Audit Manager Keyskills Finance Auditing Root Cause Analysis Real Estate Construction Cost Control Internal Audit Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:CA Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Costing Manager (CA with 3-5 years of experience preferably in Real Estate and with SAP background) Company Profile: Salarpuria Sattva Group Founded in 1986 with the primary focus of developing high quality constructions, the Group has attained leadership positioning in the field and is one of the most preferred brands in the country today. Having pioneered the early development landscape in Bangalore and literally shaping the city's skyline since the mid-80s, the Group has a diverse portfolio of world-class IT Parks, commercial, residential, hospitality and retail properties. The Salarpuria Sattva Group is one among the leading names in the construction Industry today. We are recognized as one of the most ""trusted"" builders in India. Our credentials are reflected in our being recognized by CRISIL as an ""A"" Stable Rated Company. Very few builders in India share this enviable tag with us. Our credibility is reinforced by prestigious national recognition through the Awards that we have received in recent times including NDTV Award for Best Premium Property, the ET Award for Best Residential Development, the CNBC AWAAZ Award for Best Residential and Commercial Properties as well as the CNBC AWAAZ Award in recognition of our contribution to the building industry. Enter details about your company and/or the company you are hiring for Download PPT Photo 1   View Contact Details",100316003334,Bengaluru/Bangalore,Manager Costing & Internal Audit -sattva Group,2.0,Not Disclosed by Recruiter,2016-03-30 17:04:11 +0000,,Accounts,5cf27b30da4ecd6aaba92e2e079015c1,intern
ZNPAC INC hiring for TOP Mnc's and Bpo's,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",0 - 3 yrs,BPO / Call Centre / ITES,"Job Description   Send me Jobs like this Excellent English Communication Qualification: Any Graduates/Undergraduates with any Percentge Shifts: US/UK/Aus/Rotational/Day ShiftZ 2 Way Cab Facilities, Food Coupons, Client Incentivs Meet Lakshmi to schedule your Interview Cl Lakshmi: 8951464841 Salary:INR 1,25,000 - 4,00,000 P.A. Incentives, Food Coupons, Shift Allowances, Client Bonus Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(Technical) Keyskills CSR TSR CSE TSE CSO TSO Customer Support Technical Support Semi - Technical Support Inbound Upselling Inbound Calls Handling Outbound Sales Or Outbound Calls Or Upselling Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: ZNPAC INC TOP Mnc's and Bpo's We at ZNPAC Inc. associate with you to fix your temporary and long-term business objectives. Once we understand your need we are able to resource the people with the right expertise set, skills, mind-set and dedication to help you. Download PPT Photo 1   View Contact Details",290316003727,Bengaluru/Bangalore,Market-place Mashup @ International BPOs ! Cl Lakshmi:8951464841,100.0,"1,25,000 - 4,00,000 P.A. Incentives, Food Coupons, Shift Allowances, Client Bonus",2016-03-29 17:04:13 +0000,,ITES,f25540aaa9ed873f700888de6bb9a38b,intern
GE India Technology Pvt. Ltd.,"UG: B.Tech/B.E. - Any Specialization PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Doctorate Not Required",0 - 1 yrs,Construction / Engineering / Cement / Metals,"Job Description   Send me Jobs like this Role Summary/Purpose We are looking for interns to participate in power electronics and control design & hardware in the loop simulations within the Power Conversion System lab at GE Global Research in Bangalore. The intern will work under the mentorship of an engineer of the lab on setting up a hardware in the loop system and perform simulations using the same. Essential Responsibilities - Participate in cutting edge research in power electronics systems, hardware in the loop simulation and physics based modeling of multiple systems - Propose enhancements to algorithms to improve performance - Work effectively in team Qualifications/ Requirements 3rd/4th year bachelors student / Masters student Electrical Engineering - Strong communication skills and ability to work in global teams - Creative ability for out of the box solutions Desired Characteristics Working knowledge of Matlab\Simulink, Salary: Not Disclosed by Recruiter Industry: Construction / Engineering / Cement / Metals Functional Area: Engineering Design , R&D Role Category:Other Role:Practical Training/Internship Keyskills MATLAB Simulink Electricals Power Electronics Electrical Engineering Creative Ability Strong Communication Skills Desired Candidate Profile Education- UG: B.Tech/B.E. - Any Specialization PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Doctorate Not Required   Company Profile: GE India Technology Pvt. Ltd. Engineering Analysis Center of Excellence (EACoE) is the Engineering & technology hub for GE Infrastructure located at the John F Welch Technology Centre, Bangalore. The team is part of the Global Engineering team of the Infrastructure businesses like Aviation, Energy, Oil & Gas and Water technologies, engaged in high-end design and analysis of Aircraft Engine components, Steam / Gas / Wind Turbines and Generators and mechanical drives for oil & gas applications. Download PPT Photo 1   View Contact Details",290316901218,Bengaluru/Bangalore,R&D Intern,,Not Disclosed by Recruiter,2016-03-29 17:04:22 +0000,,Engineering Design,12247409e5b18c16c3c1778193fe45b2,intern
Knowledge Splice Services Pvt. Ltd,"UG: Any Graduate - Any Specialization, B.Sc - Any Specialization, B.Com - Commerce, Diploma - Any Specialization, B.A - Any Specialization, B.B.A - Management, BCA - Computers PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",0 - 2 yrs,BPO / Call Centre / ITES,"Job Description   Send me Jobs like this Position: Jr Associate Experience: 0-1yrs Salary: Up to 2 lakh. Qualifications: Any Graduate/UG/Diploma (B. tech & BE, MBA, MCA are not allowed) CRITERIA: GOOD COMMUNICATION & TYPING SKILLS No. of Positions: 50 No's (Immediate Joining) Salary:INR BEST IN THE Industry Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Other Role:Fresher Keyskills graduate bba bcom bbm bca ba bsc diploma Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, B.Sc - Any Specialization, B.Com - Commerce, Diploma - Any Specialization, B.A - Any Specialization, B.B.A - Management, BCA - Computers PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Knowledge Splice Services Pvt. Ltd Knowledge Splice Service Pvt. Ltd is a leading global provider of consulting, outsourcing, learning, and technology services. Download PPT Photo 1   View Contact Details",300316001167,Bengaluru/Bangalore,Walk In Interview For Freshers In International BPO,50.0,BEST IN THE Industry,2016-03-30 17:04:24 +0000,,ITES,9b93fef94e47f8a6f91be1d916bb6290,intern
Swastik Stepstone Careers,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",0 - 5 yrs,BPO / Call Centre / ITES,"Job Description   Send me Jobs like this Warm Greeting from ""Stepstone Careers"" Great opportunity for all... Openings for Voice Process ... Qualification: 10th /10+2 / 10+3 / Graduate / Post Graduate Fresher or Experience Experience: 0 - 6 Years Contact : Mukunth (HR) - 9036100025 Salary:INR 1,75,000 - 2,75,000 P.A. 3000 fixed incentives Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(Technical) Keyskills cse client relationship sales customer service customer support international call center US Shift International BPO Night Shift Technical Support Inbound Process outbound process Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Swastik Stepstone Careers Well SWASTIK STEPSTONE CAREERS is Bangalore based manpower recruitment firm and training centre catering to the recruitment needs of Organizations from across Industries throughout India. Download PPT Photo 1   View Contact Details",290316005807,Bengaluru/Bangalore,Day Shift Openings in International Voice.call Mukunth 9036100025,50.0,"1,75,000 - 2,75,000 P.A. 3000 fixed incentives",2016-03-29 17:04:36 +0000,,ITES,135f01f77828067a55519c9aec1f3339,intern
