company,education,experience,industry,jobdescription,jobid,joblocation_address,jobtitle,numberofpositions,payrate,postdate,site_name,skills,uniq_id,category
Trivium Education Services (P) Limited,"UG: B.Tech/B.E. - Any Specialization, B.Sc - Any Specialization, B.Com - Commerce, Any Graduate - Any Specialization PG:M.Tech - Any Specialization, M.Sc - Physics, MCA - Computers, Any Postgraduate - Any Specialization, CA, CS, ICWA(CMA) Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",0 - 4 yrs,Education / Teaching / Training,"Job Description   Send me Jobs like this Hi, We are in the process of hiring part time Subject Matter Experts (SMEs) for the below mentioned subjects: Physics Operations Management Advanced Physics Chemistry Earth Sciences Economics Finance Statistics and Probability Other Math Calculus Accounting Mechanical Engineering Advanced Math Biology Computer Science Electrical Engineering Civil Engineering Job Responsibilities involves answering the questions provided, following the defined guidelines. Educational Qualification: Graduation/Post Graduation from a reputed university is must. Experience: 0-2 years of relevant experience in the same kind of profile will be an advantage. Candidate who can join ASAP will be given preference. Compensation: Question based. Job Type: Part time/home based/freelancing If interested, please apply with the below mentioned details along with your updated CV on anshika.singh@triviumedu.com Details required:- Total Experience Current CTC Expected CTC Notice Period Also please mention the subject of the mail as ""Application for the post of SME - (Name of the subject applied)"". CVs without the name of the applied subject will not be entertained. Regards, Anshika Singh Salary:INR 1,00,000 - 4,00,000 P.A Industry: Education / Teaching / Training Functional Area: Teaching , Education , Training , Counselling Role Category:University Level Role:Lecturer/Professor Keyskills Freelancing Part Time Subject Matter Expertise SME Tutor teaching teacher lecturer professor Subject matter expert tutoring online tutoring faculty Education Training online teaching Desired Candidate Profile Education- UG: B.Tech/B.E. - Any Specialization, B.Sc - Any Specialization, B.Com - Commerce, Any Graduate - Any Specialization PG:M.Tech - Any Specialization, M.Sc - Physics, MCA - Computers, Any Postgraduate - Any Specialization, CA, CS, ICWA(CMA) Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Trivium Education Services (P) Limited We take this opportunity to introduce our organization Trivium Education Services Private Ltd (part of The Manya Group, Indian Partner of The Princeton Review). Trivium Education Services is an education outsourcing company. Our Services Include Online Tutoring, Online Assessments, Online grading and Content development for the US Market. Download PPT Photo 1   View Contact Details",40516003497,"Delhi/NCR(National Capital Region) , Hyderabad / Secunderabad , Kota , Bengaluru/Bangalore , Chennai , Coimbatore , Kozhikode / Calicut",Required Subject Matter Expert (part Time),,"1,00,000 - 4,00,000 P.A",2016-05-04 11:35:49 +0000,,Teaching,e64ad7ad82a1b9662a6cc38069591d05,pt
Reliance Industries Ltd,"UG: Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",0 - 1 yrs,Retail / Wholesale,"Job Description   Send me Jobs like this A job at the world's finest toy store? Surely it can't be all work and no play.. Freshers can apply!!!   Location: Chandigarh, New Delhi, Gurgaon, Pune, Ahmedabad, Kolkata, Mumbai, Chennai, Bangalore & Kochi.   Job Purpose: To deliver sales and enhance the customer experience through high standards of customer service and product knowledge. Enjoys working with children and relishes the challenges that this may present. I am the Brand Ambassador - both in and out the store.   What is that I need to do: Warm welcome and approach to each customer. Customers inclination to shop starts right from the first step & eye contact. To efficiently adhere to all company procedures and policies. To work with the team to achieve award winning customer service. To ask for feedback about performance.   Capabilities: Enjoys working with children and relishes the challenges that this may present. Provides a safe environment by following Health & Safety guidelines and being aware of the security on the floor.   Experience: Freshers are welcome!!! Enjoys working with children and relishes the challenges that this may present. Salary:INR 50,000 - 1,50,000 P.A. Best Salary across retail domain, Lucrative Incentives, Growth Opportunities Industry: Retail / Wholesale Functional Area: Sales , Retail , Business Development Role Category:Retail Sales Role:Counter Sales Keyskills Retail Sales Retail Operations Sales and Retail Retail Product Sales Customer Handling Customer Facing Direct Selling Operations Management Customer Servicing Business Development Desired Candidate Profile Education- UG: Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Reliance Industries Ltd Reliance Industries Limited is the largest private sector corporation in India with annual revenue of US$ 62.2 billion and net profit of US$ 3.8 billion. The Group's activities span hydrocarbon exploration and production, petroleum refining and marketing, petrochemicals, retail and telecommunications. Reliance Industries Ltd is India's first private sector company to feature in Fortune Global 500 list of 'World's Largest Corporations', currently ranking 114th in terms of revenue & 155th in terms of profit. RIL strives to be a product and service leader across its industries, a great work-place and above all, to create value for its stakeholders and society. Download PPT Photo 1   View Contact Details",40516007194,"Mumbai , Bengaluru/Bangalore , Chennai , Delhi/NCR(National Capital Region) , Ahmedabad , Kolkata , Ernakulam / Kochi/ Cochin , Gurgaon , Pune",Part Time Jobs- Hamleys,80.0,"50,000 - 1,50,000 P.A. Best Salary across retail domain, Lucrative Incentives, Growth Opportunities",2016-05-04 11:35:50 +0000,,Sales,b2ee1c8f87369644cbdadd4729050522,pt
Trivium Education Services (P) Limited,"UG: B.Sc - Any Specialization, Bio-Chemistry, Chemistry, Physics, Statistics, B.Com - Commerce, B.Pharma - Pharmacy PG:M.Sc - Any Specialization, Chemistry, Physics, Statistics, M.Com - Commerce Doctorate:Doctorate Not Required, Any Doctorate - Any Specialization",0 - 2 yrs,Education / Teaching / Training,"Job Description   Send me Jobs like this Hi, We are in the process of hiring part time Subject Matter Experts (SMEs) for below mentioned subjects: Chemistry Economics Statistics Physics Job Responsibilities involves answering the questions provided, following the defined guidelines. Educational Qualification: Graduation/Post Graduation from a reputed university is must. Experience: 0-2 years of relevant experience in the same kind of profile will be an advantage. Candidate who can join ASAP will be given preference. Compensation: Question based. Job Type: Part time/home based/freelancing If interested, please apply with the below mentioned details along with your updated CV on saifali.varshney@triviumedu.com Details required:- Total Experience Current CTC Expected CTC Notice Period Also please mention the subject of the mail as ""Application for the post of SME - (Name of the subject applied)"". Regards, Shefali Varshney Salary:INR 1,00,000 - 4,00,000 P.A Industry: Education / Teaching / Training Functional Area: Teaching , Education , Training , Counselling Role Category:University Level Role:Lecturer/Professor Keyskills Freelancing Part Time Subject Matter Expertise SME Tutor teaching teacher lecturer professor chemistry Physics Statistics Economics Desired Candidate Profile Education- UG: B.Sc - Any Specialization, Bio-Chemistry, Chemistry, Physics, Statistics, B.Com - Commerce, B.Pharma - Pharmacy PG:M.Sc - Any Specialization, Chemistry, Physics, Statistics, M.Com - Commerce Doctorate:Doctorate Not Required, Any Doctorate - Any Specialization Please refer to the Job description above Company Profile: Trivium Education Services (P) Limited We take this opportunity to introduce our organization Trivium Education Services Private Ltd (part of The Manya Group, Indian Partner of The Princeton Review). Trivium Education Services is an education outsourcing company. Our Services Include Online Tutoring, Online Assessments, Online grading and Content development for the US Market. Download PPT Photo 1   View Contact Details",40516004112,"Delhi/NCR(National Capital Region) , Hyderabad / Secunderabad , Kolkata",Urgently Required Subject Matter Expert (part Time),,"1,00,000 - 4,00,000 P.A",2016-05-04 11:35:51 +0000,,Teaching,874a7203c12e6ba51c40dc3309b49c3a,pt
FCC Tourism Services,"UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",0 - 3 yrs,Advertising / PR / MR / Event Management,"Job Description   Send me Jobs like this Part time home base work opportunity Fantasy Capital Â Club Is Provide Tourism Service and holiday Service. Simply u have to do promote our Business through Social Network site . This job only Online.. Candidate Should be knowledge of computer Salary:INR 2,00,000 - 2,50,000 P.A Industry: Advertising / PR / MR / Event Management Functional Area: HR , Recruitment , Administration , IR Role Category:HR/ Recruitment / IR Role:HR Executive Keyskills part time work from home freelancer HR and Recruitment Online Marketing Graduate Marketing Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: FCC Tourism Services Fantasy Capital Club , a unit of Fantasy Capital Club. India's fastest growing tourism Management Company . Fantasy Capital Club takes you to the best holidays ever... No more hectic schedules and stress only comfort. Download PPT Photo 1   View Contact Details",40516001518,"Delhi/NCR(National Capital Region) , Ghaziabad , Noida",Online PART TIME /home Based JOB,300.0,"2,00,000 - 2,50,000 P.A",,,HR,425fb624387def8547d9b4bd4cd1af26,pt
Skoruz Technologies,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 - 7 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Opening for (Full time /Part time) Designation : Bench Sales Experience : 2+ Years Location : Bangalore DESIRED PROFILE * Min 2 years experience in Bench Sales in US IT Recruitment with experience in Bench Sales. * Ability to meet the targets on a regular basis. * Must have high levels of skill and motivation to search the talent for complex Technical requirements. * Must be able to work independently in a fast-growing environment. * Excellent written, verbal & interpersonal communication skills. * Must be able to identify suitable requirements from various job boards and social networking sites and share them with consultants * Participation in conference calls with clients and Business Development Executives to understand client's business. * Must be a self starter and an enthusiast to mobilize prospective consultants and get them on board through networking & cold calling. Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(NonTechnical) Keyskills US IT Recruitment Bench Sales Cold Calling Business Development Social Networking Sales Ability Communication Skills Part Time Interpersonal Communication Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Skoruz Technologies www.skoruz.com Download PPT Photo 1   View Contact Details",30316002149,Bengaluru/Bangalore,Bench Sales Recruiter (fulltime/part Time),3.0,Not Disclosed by Recruiter,2016-03-30 17:03:38 +0000,,ITES,1535a75c828eb8f54b489b3b0e5fd5a5,pt
Imprue Inc.,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Doctorate Not Required",3 - 7 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Duties: Drive site awareness via traditional and new media vehicles including: SEO, SEM, affiliate marketing, social media and word-of-mouth strategies Managing Google Ad words campaigns Working in the backend of the website (built in Drupal) to properly tag content for SEO/SEM Use Google Keyword Planner to find best keywords to tag our content with Use Google Analytics to gather website traffic data to direct SEM & SEO strategy Tagging and optimizing YouTube channel and videos Develop and manage relationships and partnerships for promotional purposes Analyze website and weekly newsletters, and develop plans to increase engagement Develop plan for affiliate marketing outreach Help create landing pages and ads for SEM campaigns Manage strategies for link sharing and backlinks Skills: Proven success using SEO, SEM, and social media strategies required Experience with Google Analytics, Keyword Planner, and Webmaster Tools required Experience with A/B testing and testing platforms is a plus Experience with buying ads on Facebook and YouTube Experience working with Drupal CMS a plus Experience with HTML a plus Preferred Computer Skills: Mac, Excel, Word, Photoshop, HTML Ability to work effectively at both the strategic and tactical execution levels Proven experience implementing and measuring the success of SEM / PPC SEO campaigns Strong financial acumen and proven track record in building and managing Advertising Spend P&L Familiarity with mobile technologies, responsive design/layout and cross-devise performance measurement tools Business Experience with web commerce platforms and technologies, Word Press a plus. Contact Please send resume to jobs@imprue.com Salary:INR Best in the industry Industry: IT-Software / Software Services Functional Area: IT Software - eCommerce , Internet Technologies Role Category:Admin/Maintenance/Security/Datawarehousing Role:Webmaster Keyskills SEO SEM MAC Photoshop HTML Excel Word Web Master tools Keyword Planner search engine optimization Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Doctorate Not Required Please refer to the Job Description above Company Profile: Imprue Inc. Imprue Inc. http://www.imprue.com Imprue Inc. is a San Francisco based global online and manufacturing Company with offices in USA, India, China, Singapore, and Hong Kong, in the search for experienced SEO Analyst in part time basis whose responsibilities will include drive site awareness via traditional and new media vehicles including: SEO, SEM, affiliate marketing, social media and word-of-mouth strategies, managing Google Ad words campaigns, working in the backend of the website (built in Drupal) to properly tag content for SEO/SEM, use Google Keyword Planner to find best keywords to tag our content with use of Google Analytics to gather website traffic data to direct SEM & SEO strategy. Imprue Inc. is an Equal Employment Opportunity employer that actively pursues and hires a diverse workforce. All qualified applicants will receive consideration for employment without regard to race, color, national origin, ancestry, sex, age, religion, physical or mental disability status, medical condition or marital status. At Imprue, we are passionate about what we do, and we strive to make a positive impact, not just on the lives of our clients and candidates, but our colleagues too. We work with the world's leading companies - they come to us because they want to transform their business, and that requires trust. We listen, understand and develop solutions that make a difference for our clients, accelerating growth in our business and expansion into even more markets. Download PPT Photo 1   View Contact Details",290316007731,"Bengaluru/Bangalore , Delhi/NCR(National Capital Region)",Require Part time SEO Analyst- WFH Option Available,1.0,Best in the industry,2016-03-29 17:03:40 +0000,,IT Software - eCommerce,aebf536126736d95521e5a8c36ed3fd5,pt
united capital club,UG: B.Tech/B.E. - Any Specialization PG:MBA/PGDM - Any Specialization,0 - 0 yrs,Travel / Hotels / Restaurants / Airlines / Railways,"Job Description   Send me Jobs like this Dear Candidate, We are looking for: Part-time and Full-time Customer Support individuals to help us in building good customer relationship & provide better services to them. We need friendly male/female candidates who have basic information of computer, passionate & willing to be successful with us. Attractive weekly/monthly perks and rewards for outstanding performance achiever. You may continue with your regular job & still work with us. No targets, no work pressure. Your efforts & your income! Salary:INR 50,000 - 3,00,000 P.A. weekly basis Industry: Travel / Hotels / Restaurants / Airlines / Railways Functional Area: Travel , Tours , Ticketing , Airlines Role Category:Other Role:Fresher Keyskills Customer Support Customer Relationship Part Time Online Marketing Desired Candidate Profile Education- UG: B.Tech/B.E. - Any Specialization PG:MBA/PGDM - Any Specialization Please refer to the Job description above Company Profile: united capital club UNITED CAPITAL CLUB (UCC) is a registered entity (ISO certified) and one of the fastest growing in the tourism industry. UCC is an approved company by Ministry of Corporate Affairs. With just 4 years into existence, UCC has reached & touched the lives of more than 6000 people countrywide. Besides making it's mark in providing best-in-class Tourism services globally, UCC also envisions creating excellent business opportunities (across world) for those who want to increase their income to a significant level by putting minimum yet consistent time & efforts. UCC requires all committed, visionary, consistent and result oriented people who want to be SUCCESSFUL in the realm of network marketing of Travel & Tourism. At UCC, we don't create needs by selling any products, we simply FULFILL the existing needs of the people by providing the best-in-class services. Download PPT Photo 1   View Contact Details",290316003748,"Bengaluru/Bangalore , Mumbai , Lucknow , Kolkata , Dehradun , Delhi","College Dropout,and 12th pass Students part time Jobs/",1000.0,"50,000 - 3,00,000 P.A. weekly basis",2016-03-29 17:03:50 +0000,,Travel,5f6085b3e00a81b2eee4883db98c0824,pt
GATEIIT Academy,UG: Any Graduate - Any Specialization PG:MBA/PGDM - Any Specialization Doctorate:Any Doctorate - Any Specialization,0 - 5 yrs,Education / Teaching / Training,"Job Description   Send me Jobs like this We are looking for a Part-Time Faculty for Teaching GMAT & Aptitude Syllabus at GATEIIT, Bangalore. Fresher or Experienced are welcome. www.facebook.com/ugcnetjrf Salary:INR As per the Education Industry Standard. Industry: Education / Teaching / Training Functional Area: Teaching , Education , Training , Counselling Role Category:University Level Role:Lecturer/Professor Keyskills gmat qualified aptitude faculty aptitude trainer aptitude tutor gmat faculty gmat trainer gmat lecturer aptitude lecturer Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:MBA/PGDM - Any Specialization Doctorate:Any Doctorate - Any Specialization We are looking for a Part-Time Faculty for Teaching GMAT & Aptitude Syllabus at GATEIIT, Bangalore. Fresher or Experienced are welcome. www.facebook.com/ugcnetjrf Company Profile: GATEIIT Academy Walk-in Directly for an Interview at the below given address in between 10 am to 7pm: GATEIIT Academy, 1743, 3rd Floor, Raghvendra Plaza, 17th Main Road, J P Nagar 2nd Phase, Bangalore-78. (Opp to Newly opened HDFC Bank) Call: 8884416153 Download PPT Photo 1   View Contact Details",290316003514,"Bengaluru/Bangalore , Mysore",Part Time Faculty Required for Teaching GMAT & Aptitude.,2.0,As per the Education Industry Standard.,2016-03-29 17:04:06 +0000,,Teaching,2c642ef74dfc1b5baaeae72ab62c9dc5,pt
Trivium Education Services (P) Limited,"UG: B.Com - Commerce, B.Sc - Any Specialization, Statistics PG:CA, CS, ICWA(CMA), M.Com - Commerce, M.Sc - Any Specialization, Statistics Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",0 - 2 yrs,Education / Teaching / Training,"Job Description   Send me Jobs like this Hi, We are in the process of hiring part time Subject Matter Experts (SMEs) for below mentioned subjects: Statistics and Probability Accountancy Finance Job Responsibilities involves answering the questions provided, following the defined guidelines. Educational Qualification: Graduation/Post Graduation from a reputed university is must. Experience: 0-2 years of relevant experience in the same kind of profile will be an advantage. Candidate who can join ASAP will be given preference. Compensation: Question based. Job Type: Part time/home based/freelancing If interested, please apply with the below mentioned details along with your updated CV on anshika.singh@triviumedu.com Details required:- Total Experience Current CTC Expected CTC Notice Period Also please mention the subject of the mail as ""Application for the post of SME - (Name of the subject applied)"". CVs without the name of the applied subject will not be entertained. Regards, Garima Mukhija Salary:INR 3,50,000 - 4,75,000 P.A Industry: Education / Teaching / Training Functional Area: Teaching , Education , Training , Counselling Role Category:University Level Role:Lecturer/Professor Keyskills Freelancing Part Time Subject Matter Expertise SME Tutor teaching teacher lecturer professor Desired Candidate Profile Education- UG: B.Com - Commerce, B.Sc - Any Specialization, Statistics PG:CA, CS, ICWA(CMA), M.Com - Commerce, M.Sc - Any Specialization, Statistics Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Trivium Education Services (P) Limited We take this opportunity to introduce our organization Trivium Education Services Private Ltd (part of The Manya Group, Indian Partner of The Princeton Review). Trivium Education Services is an education outsourcing company. Our Services Include Online Tutoring, Online Assessments, Online grading and Content development for the US Market. Download PPT Photo 1   View Contact Details",90216001114,"Delhi/NCR(National Capital Region) , Kota , Kolkata , Bengaluru/Bangalore",Required Subject Matter Expert (part Time),,"3,50,000 - 4,75,000 P.A",2016-03-29 17:04:17 +0000,,Teaching,f75b4f99f6a495ff78ba8243f7a7679d,pt
united capital club,UG: B.Tech/B.E. - Any Specialization PG:MBA/PGDM - Any Specialization,0 - 0 yrs,Travel / Hotels / Restaurants / Airlines / Railways,"Job Description   Send me Jobs like this Dear Candidate, We are looking for: Part-time and Full-time Customer Support individuals to help us in building good customer relationship & provide better services to them. We need friendly male/female candidates who have basic information of computer, passionate & willing to be successful with us. Attractive weekly/monthly perks and rewards for outstanding performance achiever. You may continue with your regular job & still work with us. No targets, no work pressure. Your efforts & your income! Salary:INR 50,000 - 3,00,000 P.A. weekly basis Industry: Travel / Hotels / Restaurants / Airlines / Railways Functional Area: Travel , Tours , Ticketing , Airlines Role Category:Other Role:Fresher Keyskills Customer Support Customer Relationship Part Time Online Marketing Desired Candidate Profile Education- UG: B.Tech/B.E. - Any Specialization PG:MBA/PGDM - Any Specialization Please refer to the Job description above Company Profile: united capital club UNITED CAPITAL CLUB (UCC) is a registered entity (ISO certified) and one of the fastest growing in the tourism industry. UCC is an approved company by Ministry of Corporate Affairs. With just 4 years into existence, UCC has reached & touched the lives of more than 6000 people countrywide. Besides making it's mark in providing best-in-class Tourism services globally, UCC also envisions creating excellent business opportunities (across world) for those who want to increase their income to a significant level by putting minimum yet consistent time & efforts. UCC requires all committed, visionary, consistent and result oriented people who want to be SUCCESSFUL in the realm of network marketing of Travel & Tourism. At UCC, we don't create needs by selling any products, we simply FULFILL the existing needs of the people by providing the best-in-class services. Download PPT Photo 1   View Contact Details",290316003956,"Bengaluru/Bangalore , Mumbai , Lucknow , Kolkata , Dehradun , Delhi","College Dropout,and 12th pass Students part time Jobs/",1000.0,"50,000 - 3,00,000 P.A. weekly basis",2016-03-29 17:04:28 +0000,,Travel,15012d4149d0732a3f5375282bbf3d11,pt
United Capital Club,UG: B.Tech/B.E. - Any Specialization PG:MBA/PGDM - Any Specialization,0 - 0 yrs,Travel / Hotels / Restaurants / Airlines / Railways,"Job Description   Send me Jobs like this We need passionate people for customer service (work from HOME) to contribute in the promotion & growth of our BUSINESS in Travel & Tourism. Earn HUGE benefits in form of INCOME (weekly/monthly), FREEBIES & an excellent opportunity to BUILD your own NETWORK & VISIBILITY countrywide. No Targets, No Product Selling, No Boss, No Work Pressure. All COMMITTED & interested people can call us. Looking forward to transforming your dreams to reality! Salary:INR 50,000 - 3,00,000 P.A. Weekly Basis Industry: Travel / Hotels / Restaurants / Airlines / Railways Functional Area: Travel , Tours , Ticketing , Airlines Role Category:Other Role:Fresher Keyskills Promoting Online Desired Candidate Profile Education- UG: B.Tech/B.E. - Any Specialization PG:MBA/PGDM - Any Specialization Please refer to the Job description above Company Profile: United Capital Club UNITED CAPITAL CLUB (UCC) is a registered entity (ISO certified) and one of the fastest growing in the tourism industry. UCC is an approved company by Ministry of Corporate Affairs. With just 4 years into existence, UCC has reached & touched the lives of more than 6000 people countrywide. Besides making it's mark in providing best-in-class Tourism services globally, UCC also envisions creating excellent business opportunities (across world) for those who want to increase their income to a significant level by putting minimum yet consistent time & efforts.Â  UCC requires all committed, visionary, consistent and result oriented people who want to be SUCCESSFUL in the realm of network marketing of Travel & Tourism. At UCC, we don't create needs by selling any products, we simply FULFILL the existing needs of the people by providing the best-in-class services. Download PPT Photo 1   View Contact Details",290316004185,"Mumbai , Delhi , Kolkata , Lucknow , Dehradun , Bengaluru/Bangalore",Online part time /full time job just Basic Knowledge of Computer norm,1000.0,"50,000 - 3,00,000 P.A. Weekly Basis",2016-03-29 17:04:29 +0000,,Travel,ba757d9d50692e220b5c1f582b710b63,pt
Edgewater Global Services Pvt.Ltd,"UG: Any Graduate - Any Specialization PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",1 - 6 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Well experience SEO / SMO// Digital MarketingTeacher required Part time basis at Mumbai Kandivali area. Need teach One person daily 2-3 hours basis. Apply with your CV. Salary:INR 70,000 - 1,25,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Graphic/Web Designer Keyskills Blog Submission SEO Directory Submission Article Submission Web Designing Web Technologies graphic technologies e commerce technologies web designer Graphic designer SEO executive internet marketing executive search engine optimization Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Candidates should have 2 + years experience Residing in Mumbai western Suburbs need to apply. Job Location Kandivali east. E-mail: projectmideast@gmail.com Company Profile: Edgewater Global Services Pvt.Ltd A leading company in Oman Download PPT Photo 1   View Contact Details",50316004260,Mumbai,Digital Marketing / SEO Specialist Teacher Required part time Basis,1.0,"70,000 - 1,25,000 P.A",2016-05-20 08:24:32 +0000,,IT Software - Application Programming,99430fe2d1014be174f88499667a2294,pt
Educomp Solutions Ltd.,"UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",4 - 6 yrs,Education / Teaching / Training,"Job Description   Send me Jobs like this Fliplearn is a 21st century learning platform, present in over 2000 schools. We are India's largest learning platform, with 120,0000 students actively learning, sharing and communicating with fellow-students and teachers. We are looking for people to engage with early adopters of our platform. As a training partner, you would be conducting workshops for a group of 30-40 users, and capture the feedback to improve the platform. Job Responsibilities: Conduct workshops in schools for group of about 40 people (new teachers / parents) on Fliplearn platform Explain the benefits of crossing over the digital divide and engage for a positive conversion Understand the issues and roadblocks in successful adoption and communicate with support team to remove them Engage with senior management to work on the problems identified and identify the solutions for a speedy adoption across schools Build a responsible relationship with schools for a deeper platform engagement Salary: Not Disclosed by Recruiter Industry: Education / Teaching / Training Functional Area: Teaching , Education , Training , Counselling Role Category:Teachers Role:Trainer Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Educomp Solutions Ltd. Fliplearn is a 21st century learning platform, present in over 2000 schools. We are India's largest learning platform, with 120,0000 students actively learning, sharing and communicating with fellow-students and teachers. Download PPT Photo 1   View Contact Details",290416601825,"Bengaluru/Bangalore , Chennai , Delhi/NCR(National Capital Region) , Mumbai , Hyderabad / Secunderabad , Ludhiana , Jaipur , Coimbatore , Pune",Training Partner - Fliplearn Education Pvt Ltd. (part-time),,Not Disclosed by Recruiter,2016-04-28 06:05:59 +0000,,Teaching,d4068dd7608219bd5d5b15c8bb7e6430,pt
Dare Deviles Services Private Limited,"UG: Any Graduate PG:Any Postgraduate Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",1 - 5 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this 0 - 5 Years 14- 04- 2016 Consultant E- Commerce (Part Time) Jobs in Gurgaon - Vacancy in IT - Ecommerce/ Internet Marketing Consultant E- Commerce (Part Time) VACANCY DETAILS Job Title Consultant E- Commerce (Part Time) Gender Preference Female Number Of Vacancy 10 Industry Area IT - Ecommerce/ Internet Marketing Key Skills Direct Marketing, E- commerce Consultant, Internet Marketing Qualification Secondary School Salary (Per Annum) 2 Lac To 6 Lac Work Experience 0 - 5 Years Job Requirement We are looking Consultant for Trillions US$ American Company. Candidate should be min.12th passed and above Having internet and mobile app s good knowledge. At least minimum one year experience in sales and marketing. About us (What are we) We are the worlds largest online shopping mall spreading almost all over the world. We are The No.1 cash back portal in the world. We are the worlds biggest and first company who come along with the concept of M - Commerce. Market Every single person of whole world who do the online shopping is our business. Earning potential World s upcoming and largest industry is M Commerce .So no limit of earning depend how many we can do. Work profile 1 Making the online free and paid customer. Using social media what's Ape .Face book Twitter Linked in Quicker, OLX and any other tool. 2. Trend the customer so that they can do more saving. 3. Making the online Consultant threw social media, reference or as possible. 4. Trend the Consultant for more earning. 5 Make the Team and develop the Consultant. Job State / U.T. COMPANY PROFILE Dare Devil Services CONTACT DETAILS Services We Offer Contribute a better translatio Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: Marketing , Advertising , MR , PR , Media Planning Role Category:Marketing Role:Marketing Manager Desired Candidate Profile Education- UG: Any Graduate PG:Any Postgraduate Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Dare Deviles Services Private Limited Dare Deviles Services Private Limited Download PPT Photo 1   View Contact Details",150416501249,Gurgaon,consultant e commerce part time,,Not Disclosed by Recruiter,2016-04-15 06:06:07 +0000,,Marketing,4373e9eae5725c501e6a8709e55515d0,pt
